date,code,name,market,open,high,low,close,change,change_rate,volume,trading_value,market_cap,listed_shares
20251113,005380,현대차,KOSPI,273000,279000,272500,278500,3000,1.09,681153,188353876750,57025037831000,204757766
20251113,005930,삼성전자,KOSPI,102500,104200,102300,102800,-300,-0.29,20838741,2148169322300,608538778381600,5919637922
20251113,035720,카카오,KOSPI,63600,64200,62700,63700,-100,-0.16,3253680,206088815600,28175665390600,442318138
20251114,005380,현대차,KOSPI,272500,278000,272000,272500,-6000,-2.15,579023,158617302250,55796491235000,204757766
20251114,005930,삼성전자,KOSPI,99000,99600,97200,97200,-5600,-5.45,21806342,2147749334700,575388806018400,5919637922
20251114,035720,카카오,KOSPI,62400,63200,61000,61400,-2300,-3.61,3530001,218723193400,27162387301200,442384158
20251117,005380,현대차,KOSPI,275500,275500,271500,271500,-1000,-0.37,384305,104733041750,55591733469000,204757766
20251117,005930,삼성전자,KOSPI,99800,101000,99500,100600,3400,3.5,17192584,1724130858810,595515574953200,5919637922
20251117,035720,카카오,KOSPI,61700,62000,60500,60700,-700,-1.14,2541985,154996574200,26852718390600,442384158
20251118,005380,현대차,KOSPI,269000,271500,263500,264500,-7000,-2.58,475705,126928240750,54158429107000,204757766
20251118,005930,삼성전자,KOSPI,99800,100900,97500,97800,-2800,-2.78,18684068,1844179134100,578940588771600,5919637922
20251118,035720,카카오,KOSPI,60300,60900,57200,57500,-3200,-5.27,5810827,340565287450,25437089085000,442384158
20251119,005380,현대차,KOSPI,272000,272000,261500,264000,-500,-0.19,413452,109509601500,54056050224000,204757766
20251119,005930,삼성전자,KOSPI,97100,97500,94600,96500,-1300,-1.33,18993346,1787980830810,571245059473000,5919637922
20251119,035720,카카오,KOSPI,57800,58800,56600,58200,700,1.22,2946680,170317163300,25746757995600,442384158
20251120,005380,현대차,KOSPI,267000,267500,262000,262000,-2000,-0.76,501196,132451015000,53646534692000,204757766
20251120,005930,삼성전자,KOSPI,100900,102900,99500,100600,4100,4.25,25360435,2568225958163,595515574953200,5919637922
20251120,035720,카카오,KOSPI,59200,59600,58600,59100,900,1.55,2269237,134307187700,26144903737800,442384158
20251121,005380,현대차,KOSPI,255000,261000,254500,259500,-2500,-0.95,538414,139301143750,53134640277000,204757766
20251121,005930,삼성전자,KOSPI,95600,96800,94500,94800,-5800,-5.77,23103574,2204245251690,561181675005600,5919637922
20251121,035720,카카오,KOSPI,57600,59300,57100,58700,-400,-0.68,2528224,147518968450,25967950074600,442384158
20251124,005380,현대차,KOSPI,262000,262000,257500,257500,-2000,-0.77,610389,157794632250,52725124745000,204757766
20251124,005930,삼성전자,KOSPI,97800,99000,96200,96700,1900,2.0,29831172,2908768341130,572428987057400,5919637922
20251124,035720,카카오,KOSPI,59300,59500,57600,58800,100,0.17,2217014,129909915950,26012188490400,442384158
20251125,005380,현대차,KOSPI,261000,262000,256500,257500,0,0.0,390393,101167646500,52725124745000,204757766
20251125,005930,삼성전자,KOSPI,101400,101400,97800,99300,2600,2.69,16110054,1602730841700,587820045654600,5919637922
20251125,035720,카카오,KOSPI,59600,59700,57600,58000,-800,-1.36,1912277,111734177800,25658281164000,442384158
20251126,005380,현대차,KOSPI,260500,262000,259500,261500,4000,1.55,402781,105105587250,53544155809000,204757766
20251126,005930,삼성전자,KOSPI,100500,102900,99300,102800,3500,3.52,21314975,2159034953350,608538778381600,5919637922
20251126,035720,카카오,KOSPI,58500,61000,58200,61000,3000,5.17,3312601,199481712050,26985433638000,442384158
20251127,005380,현대차,KOSPI,261500,262500,259500,261500,0,0.0,289061,75409270000,53544155809000,204757766
20251127,005930,삼성전자,KOSPI,104100,105500,102700,103500,700,0.68,16453004,1713246599050,612682524927000,5919637922
20251127,035720,카카오,KOSPI,60900,61200,59700,59700,-1300,-2.13,1632051,98378764800,26410334232600,442384158
20251128,005380,현대차,KOSPI,261500,265500,259000,261500,0,0.0,511004,133823076750,53544155809000,204757766
20251128,005930,삼성전자,KOSPI,103800,103800,100500,100500,-3000,-2.9,15292277,1548884266354,594923611161000,5919637922
20251128,035720,카카오,KOSPI,59900,59900,58600,58700,-1000,-1.68,1603848,94533279750,25967950074600,442384158
20251201,005380,현대차,KOSPI,261000,261500,253500,254500,-7000,-2.68,555473,141915463500,52110851447000,204757766
20251201,005930,삼성전자,KOSPI,102000,102800,99900,100800,300,0.3,10905526,1101995992050,596699502537600,5919637922
20251201,035720,카카오,KOSPI,58900,60300,58900,59500,800,1.36,1811973,108015053250,26321857401000,442384158
20251202,005380,현대차,KOSPI,257500,267500,257000,266000,11500,4.52,1084944,287726924250,54465565756000,204757766
20251202,005930,삼성전자,KOSPI,101200,103500,101000,103400,2600,2.58,13649487,1401469615424,612090561134800,5919637922
20251202,035720,카카오,KOSPI,59600,59800,58800,59500,0,0.0,1158789,68893389750,26321857401000,442384158
20251203,005380,현대차,KOSPI,266500,267500,263000,266500,500,0.19,483994,128961907750,54567944639000,204757766
20251203,005930,삼성전자,KOSPI,104700,105500,104000,104500,1100,1.06,14697927,1541179456000,618602162849000,5919637922
20251203,035720,카카오,KOSPI,59800,61300,59800,60600,1100,1.85,2256089,136989123200,26808479974800,442384158
20251204,005380,현대차,KOSPI,273000,284500,270000,283500,17000,6.38,1994134,558547267250,58048826661000,204757766
20251204,005930,삼성전자,KOSPI,103900,105100,103200,105100,600,0.57,11931145,1243000736272,622153945602200,5919637922
20251204,035720,카카오,KOSPI,60200,60500,59500,60200,-400,-0.66,1262524,75670563850,26631526311600,442384158
20251205,005380,현대차,KOSPI,282000,316500,280000,315000,31500,11.11,3892799,1178646344250,64498696290000,204757766
20251205,005930,삼성전자,KOSPI,105300,108400,104600,108400,3300,3.14,19755571,2110938031640,641688750744800,5919637922
20251205,035720,카카오,KOSPI,60000,61500,60000,61500,1300,2.16,2164350,132042616800,27206625717000,442384158
20251208,005380,현대차,KOSPI,321000,321000,308500,315500,500,0.16,1913789,600065525996,64601075173000,204757766
20251208,005930,삼성전자,KOSPI,109700,110000,108000,109500,1100,1.01,15527762,1697092217750,648200352459000,5919637922
